Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Links,The House Has,Parking,Amenities,Appliances,Window Views
Panels,No,Available,9,66 sq.m.,2,1,from 2.75 m,7,Closed balcony,Old Renovation,5,Yes,No,Not included,3 months,"Փարամազի փողոց 14, Մեղրի","80,000 ֏ monthly",AMD,"Сдается 2-комнатная квартира на 7 этаже 9 этажного дома на улице Парамаза, города Мегри. В здании работает лифт. Общая площадь около 66 квадратных метров. Квартира очень светлая, имеет прекрасный вид на центр города, район Покр Тах и двор. В квартире большой закрытый балкон, большой встроенный шкаф, на кухне и в ванной заменены трубы, установлен новый унитаз и есть гостиная и спальная мебель. В квартире старый ремонт, нету горячей воды и средство отопления. В случае решения проблем с горячей водой или любого ремонта деньги будут вычтены из арендной платы.Վարձով տրվում է 2 սենյականոց բնակարան Մեղրի քաղաքի Փարամազ փողոցի թիվ 19-րդ 9 հարկանի շենքի 7-րդ հարկում։ Շենքն ունի աշխատող վերելակ։ Ընդհանուր մակերեսը կազմում է մոտ 66 քմ։ Բնակարանը շատ լուսավոր է և ունի գեղեցիկ տեսարան դեպի քաղաքի կենտրոն, Փոքր թաղ և բակ։ Բնակարանն ունի մեծ փակ պատշգամբ, մեծ ներկառուցված պահարան, խոհանոցում և սանհանգույցում խողովակները փոխված են, տեղադրված է նոր զուգարանակոնք։ Բնակարանն ունի հին նորոգում և լուծված չէ տաք ջրի և ջեռուցման հարցը։ Բնակարանի տաք ջրի հարցի լուծման կամ որևէ այլ նորոգման դեպքում՝ կատարված ծախսի գումարը կնվազեցվի վարձակալության գումարից։",Nov-24-2022_17-51,,https://list.am/en/item/17046087,,,,,
Panels,Yes,Not available,2,50 sq.m.,2,1,from 2.8 m,2,Open balcony,Euro Renovation,4,No,Yes,Not included,1 month,Syunik › Kapan,"70,000 ֏ monthly",AMD,The house is located next to the Kapan combine. It is available for short-term and long-term rent. All utilities are available. It is suitable for couriers or people in Kapan for other purposes. There is a place to park the car safely outside. The house will be free from November 12.Translated from Armenian,Nov-24-2022_17-51,,https://list.am/en/item/18238609,,,,,
Stone,No,Not available,5,35 sq.m.,1,1,from 3 m,1,Not available,Major Renovation,,,,,,"Hunan Avetisyan street 12, Kapan","65,000 ֏ monthly",AMD,Hunan 12 sq. 1 floorProperty equipmentRenovatedHeating elecConstant hot waterThe entrance is from the yardBandageCall the viber of the same numberTranslated from Armenian,Nov-24-2022_17-51,,https://list.am/en/item/16067593,,,,,
Stone,No,Not available,1,70 sq.m.,2,1,from 2.75 m,1,Open balcony,Partial Renovation,,,,,,Syunik › Goris,"10,000 ֏ daily",AMD,"An apartment is for daily rent in Goris. All the utilities are available: Wi-Fi, Constant hot and cold water. Located in the city center, close to all banks and shops.Translated from Armenian",Nov-24-2022_17-51,,https://list.am/en/item/17491545,,,,,
Stone,Yes,Not available,2,60 sq.m.,3,1,from 2.8 m,2,Open balcony,Major Renovation,4,Yes,No,By Agreement,By Agreement,"Artsakhyan avenue, Goris","120,000 ֏ monthly",AMD,"Квартира находится в Горисе, полнстью отремонтировани и имеет все коммуникации:",Nov-24-2022_17-51,Available,https://list.am/en/item/18348444,,,,,
Stone,No,Not available,5,38 sq.m.,1,1,from 2.8 m,4,Open balcony,Old Renovation,,,,,,"Մուշեղ Հարությունյան փողոց 5, Կապան","50,000 ֏ monthly",AMD,1-room apartment for rent. There are necessary conditions for living.Translated from Armenian,Nov-24-2022_17-51,,https://list.am/en/item/18069075,,,,,
Panels,No,Not available,5,55 sq.m.,1,1,from 2.7 m,4,Closed balcony,Cosmetic Renovation,,,,,,Syunik › Kapan,"50,000 ֏ monthly",AMD,Վարձով է տրվում 1 սենյականոց բնակարան։ ձևափոխված։ մեծոտ։ Փոքր 3 սենյակներ են։ մաքուր։ հարմարավետ։Տեսադաշտը շատ լավ բարձրից նայում։ ես քաղաքին։ շատ հարմար է աշխատող ընտանիքների համար։ Կարճաժամկետ մնացողների համար (տուրիստներ կարճաժամկետ աշխատողներ) վարձավճարը կլինի բարձր։ Գրավոր պայմանագիր կկապվենք։ ԱՆՈՒՇԱՎԱՆ,Nov-24-2022_17-51,,https://list.am/en/item/13183857,,,,,
Stone,No,Not available,5,50 sq.m.,2,1,from 2.75 m,3,Closed balcony,Cosmetic Renovation,3,Yes,No,By Agreement,Without prepayment,"Գրիգոր Տաթեվացի փողոց 4, Գորիս","8,000 ֏ daily",AMD,All communal living conditions are provided.Translated from Armenian,Nov-24-2022_17-51,Available,https://list.am/en/item/17250719,,,,,
Stone,No,Not available,2,56 sq.m.,2,1,from 3 m,1,Closed balcony,Euro Renovation,,,,,,Syunik › Meghri,"99,990 ֏ monthly",AMD,Apartment for rent in Araksashen district. The apartment is in very good condition. Contractual price.Translated from Armenian,Nov-24-2022_17-51,,https://list.am/en/item/18186743,,,,,
Stone,No,Not available,5,80 sq.m.,3,1,from 2.7 m,4,Open balcony,Major Renovation,4,Yes,No,Not included,1 month,"Garegin Nzhdeh Street 16, Kapan","135,000 ֏ monthly",AMD,"3-room apartment is for rent in the center of Kapan for long-term living with a family.The apartment is on the 4th floor of a bright, bright 5-storey stone building, and you only have two floors (due to the unique architectural features of the building) The building is a little above the Marzpetaran, it is green, clean and beautiful.The apartment is furnished and technically equipped (TV, refrigerator, washing machine, vacuum cleaner, iron) The apartment is supplied with natural gas (gas water heater, hot water in the kitchen and bathroom), heating with electric radiators. The apartment is newly renovated, the bathroom is tiled, with the necessary sanitary ware.There is one open balcony.To make a phone call, please call via Viber or WhatsApp, the phone number is listed. I will also answer your questions on the messages page.Translated from Armenian",Nov-24-2022_17-51,Available,https://list.am/en/item/12801207,,,,,
