Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Construction Type
Everything Else,600 sq.m.,Aragatsotn › Ashtarak,"$40,000",USD,"The farm cattle shed Luys has a water supply, a feed store, a guard room, it is located in the village of Ushi, it has a usable area of 600 square meters, the height of the farm is 8 meters.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/17227582,
Agricultural Space,9 sq.m.,Aragatsotn › Ashtarak,"120,000 ֏",AMD,Домик... Срочно... Нет торга цена последни... Пишите. Не званитье,Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/18272136,
Functioning Business,2000 sq.m.,"Ashtarak highway, Yerevan","$130,000",USD,The bakery is awake. In the village of Yerevan. On the Aparan highway.Translated from Armenian,Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/16442198,
Multifunctional Space,450 sq.m.,Aragatsotn › Ashtarak,"850,000 ֏",AMD,"An existing business for rent, Ashtarak Proshyan Sofkhoz, adjacent to the North-South highway.First line.2 storey multi-purpose property. Each floor is 225 square meters.Supermarket on the 1st floor. It has a separate bakery.The floors can also be rented separately. Each floor costs 900,000.All utilities are available: Gas, water, electricity, three-phase electricity.For more information call:*Agency commission is 2% of sale price.To see similar agency announcements, you can visit our page by clicking on the logo photo.Code 7001Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/18350094,
Office Space,500 sq.m.,"Մարշալ Բաղրամյան փողոց 53, Ապարան","200,000 ֏",AMD,"Office space for rent in Aparan city, on the main street (first line), Aparan square.The 2nd and 3rd floors of the building are for rent.Each floor is 500 square meters.The price is negotiable.For more information call:Aparan, lease, space for rent, office space, Marshal BaghramyanTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/17811620,
Warehouse,200 sq.m.,Aragatsotn › Ashtarak,"300,000 ֏",AMD,A storage area is for rentTranslated from Armenian,Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/17223096,
Warehouse,200 sq.m.,Aragatsotn › Ashtarak,"100,000 ֏",AMD,"Premises for rent in Ashtarak city. Stone buildings that you can use for storage or workshop. Water, electricity, sewage are available. Call for the price, we will make an agreement.A cooperation option is also possible.Translated from Armenian",Nov-24-2022_22-32,By agreement,Not available,Other,Common from the Courtyard,OUtdoor parking,Direct Lease,1 month,1 month,Not included,https://list.am/en/item/16989174,
Multifunctional Space,420 sq.m.,Aragatsotn › Aragatsotn,"1,000,000 ֏",AMD,"VM976Aragatsotn, Proshyan village420 square meters, 2-story business space for rent on the Ashtarak-Yerevan highway.Operates as a supermarket, bakeryThe 2nd floor has a separate entranceAMD 1,000,000 per floorTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/18256980,
Warehouse,75 sq.m.,"Tigran Mets Street, Ashtarak",40 ֏,AMD,"A refrigerator is for rent.If desired, we will also provide boxes.Refrigerator. Refrigerator. Fruit refrigerator. Warehouse.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/18335479,
Office Space,250 sq.m.,Aragatsotn › Talin,$600,USD,"The two-storey stone building is located in the center of Talin city. It is very convenient for banks, Beeline, VivaCell-like Ucom institutions.Translated from Armenian",Nov-24-2022_22-32,Not available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,1 month,Not included,https://list.am/en/item/17509546,
Everything Else,100 sq.m.,"Yerevanyan St, Ashtarak",100 ֏,AMD,"In the city of Ashtarak, I am selling space for production, agency, buying and selling and other types of activities. There is gas, water, three-phase electricity inside the building. The area is located right next to Ketronakan Street. Call for details!Translated from Armenian",Nov-24-2022_22-32,Not available,Not available,First Line,Common from the Street,,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18190809,
Agricultural Space,2000 sq.m.,Aragatsotn › Ashtarak,"100,000 ֏",AMD,"A barn with an area of 2000 square meters is for rent, call for detailsTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/17935315,
Retail Space,25 sq.m.,Aragatsotn › Oshakan,"355,000 ֏",AMD,"URGENT... 12 ton 60 cubic refrigerator for rent in Oshakan, if desired, together with dvizhokTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/14535800,
Agricultural Space,2760 sq.m.,Aragatsotn › Aragatsotn,"250,000 ֏",AMD,"Farm for rent, water and electricity available. For details, call the given phone number.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/18210897,
Retail Space,40 sq.m.,"Երևանյան փողոց 4, Աշտարակ","140,000 ֏",AMD,"A public area, which is located in front of the bus station, Yerevanyan 4 station. At the moment, it works as a pharmacy and has a lot of customers.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,,https://list.am/en/item/18165604,
Office Space,250 sq.m.,"Nerses Ashtaraketsu square, Ashtarak","4,000 ֏",AMD,"Office space is for rent.The rooms are of different sizes, each room is fully renovated and has its own bathroom. Rooms number 4.Call for questions.Translated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17816853,
Office Space,35 sq.m.,Aragatsotn › Ashtarak,"70,000 ֏",AMD,"Сдается в аренду участок в городе Аштарак. Участок подходит под магазин, офис и парикмахерскую. Находится рядом с автовокзалом, на трассе Аштарак-Ереван. До Еревана 10 минут на машине.",Nov-24-2022_22-33,Not available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/17706387,
Everything Else,400 sq.m.,Aragatsotn › Ashtarak,"550,000 ֏",AMD,"The price is 550,000 negotiable. The building is located on the main road, it is provided with constant water, gas, security system, two bathrooms, heating system and air conditioners, it has a parking lot. It is very suitable for office/business/ and other purposes. Also, if necessary, we can provide the first floor for the horse to live on the second floorTranslated from Armenian",Nov-27-2022_19-02,,,,,,,,,,https://list.am/en/item/18391646,
Retail Space,270 sq.m.,Aragatsotn › Talin,"350,000 ֏",AMD,"The area is located on the road to the hospital, in the central part, there is three-phase electricity, water, sewage, two floors with different entrances, eurorenovation, the building has an adjacent plot of land, you can use it if you wish.Translated from Armenian",Nov-27-2022_19-02,Not available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,2 months,By Agreement,https://list.am/en/item/18501313,
Retail Space,3000 sq.m.,Aragatsotn › Alagyaz,"$10,000",USD,"Предлагаю вашему вниманию торговое помещение с ТОПОВЫМ местоположением и большой парковкой. Находится в селе алагяз прям у трассы, которая ведет через грузию, россию. Ближайшие конкруренты Апаран. НО КАК ГОВОРИТСЯ НЕТ НИЧЕГО ЛУЧШЕ ЖИВОГО ОБЗОРАНасчет цены возможен торг!Магизин на 90% готов, обсудим с вами все3 этажа",Nov-27-2022_19-02,,,,,,,,,,https://list.am/en/item/18558163,
Retail Space,56 sq.m.,"Tigran Mets Street, Ashtarak","150,000 ֏",AMD,Shop-hall for rent c. At 6 Ashtarak Geghaznik street (in the lower part of the 110th street) All facilities are available.Translated from Armenian,Nov-27-2022_19-02,,,,,,,,,,https://list.am/en/item/18560948,
Retail Space,800 sq.m.,"Քոթանյան փողոց 10, Թալին քաղաք","400,000 ֏",AMD,"The area is located in the central part of Tallinn, the area is provided with three-phase electricity, round-the-clock water supply and sewerage.Translated from Armenian",Nov-27-2022_19-02,Not available,Not available,First Line,Separate from the Street,,Sublease,1 year,2 months,By Agreement,https://list.am/en/item/18391694,
Multifunctional Space,260 sq.m.,"Grigor Narekaci street, Ashtarak","400,000 ֏",AMD,"It is located in the central street, has three-phase electricity, parking space, permanent water, total area 260 sq. M.Translated from Armenian",Nov-27-2022_19-02,,,,,,,,,,https://list.am/en/item/18500215,
Office Space,100 sq.m.,"Tigran Mets Street, Ashtarak","150,000 ֏",AMD,"Commercial space for rent, first line in front of the COURT. Hall and 3 private rooms, 2 of them with utility facilities. It is also suitable for office space and public food point.Translated from Armenian",Nov-27-2022_19-02,Not available,Not available,First Line,Common from the Street,OUtdoor parking,Sublease,6 months,2 months,By Agreement,https://list.am/en/item/18541152,
Agricultural Space,7000 sq.m.,Aragatsotn › Ashtarak,"500,000 ֏",AMD,"Farm cattle. For sale or rent. 2 Farm with its territory. It has all comforts (electricity, water)Translated from Armenian",Nov-27-2022_19-02,Available,Not available,First Line,Common from the Street,,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18211200,
Warehouse,100 sq.m.,Aragatsotn › Ashtarak,"180,000 ֏",AMD,"Production or storage space in the city of Ashtarak, there is single-phase electricity, water, the area is 100 square meters, 80 square meters, 2 floors, call for detailsTranslated from Armenian",Nov-27-2022_19-02,,,,,,,,,,https://list.am/en/item/17289112,
Retail Space,73 sq.m.,"Մարշալ Բաղրամյան փողոց 53, Ապարան","200,000 ֏",AMD,"A very busy area in the center of Aparan city, 1 lane of the main road, with all utilities, suitable for any business, both professional and commercial.Translated from Armenian",Nov-27-2022_19-02,,,,,,,,,,https://list.am/en/item/18487572,
Office Space,48 sq.m.,Aragatsotn › Ashtarak,"200,000 ֏",AMD,"Code H0438A two-story commercial space is for rent in Ashtarak.The area is 48 square meters.Air conditioner is installed. All facilities are available.It is convenient to use both as a commercial and as an office space.The rent is 200,000 AMD.Translated from Armenian",Nov-27-2022_19-02,Not available,Not available,First Line,Common from the Street,,Direct Lease,1 year,1 month,Not included,https://list.am/en/item/18424061,
Industrial and Manufacturing,70 sq.m.,"Tigran Mets st., Աշտարակ","80,000 ֏",AMD,"Own house. The first floor is residential, the second floor is for rent. It is suitable as a workshop. The area is 70 square meters. It is rented for AMD 80,000 per month.Translated from Armenian",Nov-27-2022_19-02,,,,,,,,,,https://list.am/en/item/18540496,
