Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links,Construction Type
Retail Space,55 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,"Erevanyan street, Ijevan","180,000 ֏",AMD,"Office and commercial space for rent on Yerevanyan street, Ijevan, (M-4 road) in front of the market, on the 2nd floor of a 2-story building. It is located next to Baze supermarket. For more information call.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16056491,
Industrial and Manufacturing,2700 sq.m.,,,,,,,,,"Yerevanyan street, Noyemberyan","150,000 ֏",AMD,"Предлагаю производственное помещение (мебельное производство из древесины) со всеми необходимыми станками, полностью готовой к работе. Помещение состоит из производственного цеха 480 м2, подсобное помещение, 2 гаража, складское помещение и открытая площадка для складирования груза.Территория полностью загорожена с каменным забором из туфа, проведено электричество на 380v.Очень удобный трафик, находится рядом с государственной магистрали Армения - Грузия, всего 10 км от границы с Грузией. Можно переквалифицировать на любое другое производство (блоки, черепица, тротуарный камень...), или использовать для складирования транзитных грузов.Бизнес готовый и не требует больших вложении!По всем вопросам просим связаться по телефонам:",Nov-24-2022_22-31,,https://list.am/en/item/18034856,
Everything Else,400 sq.m.,Available,Available,First Line,Separate from the Courtyard,Direct Lease,1 month,By Agreement,Included,Tavush › Dilijan,"30,000 ֏",AMD,"Code 0111Daily rental booths on Clear Lake Road.In the garden, private area, water, electricity, bathroom, barbecuePrice by quantityBig booth for 40 people, 40,000 dramsSmall booth for 25 people, AMD 30,000Provisions+ Entry 13.00 Exit 12.00+ If you stay until evening, the price of 1 more day will be charged+ PREPAYMENT is REQUIRED to reserve the house.+ If you cancel the reservation, the advance payment is NOT refundable+ Other cases related to advance payment are subject to negotiation (eg canceling one house booking another house through us)+ After presenting the advance payment voucher (Viber, WhatsApp or other option) BOOKING IS CONFIRMED.Dear customer, click on the NAME to get acquainted with all our announcements.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Code 0111-Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17687501,
Warehouse,100 sq.m.,,,,,,,,,Tavush › Ayrum,"60,000 ֏",AMD,"First lane, drinking water, three-phase electricity on the side of Ayrum Haghtanak road for rentSuitable for the refrigeratorTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17595624,
Hotel,60 sq.m.,,,,,,,,,Tavush › Dilijan,"250,000 ֏",AMD,"A guest house for 6-8 people is for long-term rent. Furnished as needed, completely renovated, keeping the old style, there is wi fi connection, baxi heating system, beautiful yard for a complete relaxation.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17999868,
Multifunctional Space,240 sq.m.,,,,,,,,,Tavush › Ijevan,"150,000 ֏",AMD,"Торговый центр в с. Хаштарак - магазин, кафе, хлебопекарня.",Nov-24-2022_22-31,,https://list.am/en/item/17395111,
Multifunctional Space,240 sq.m.,,,,,,,,,Tavush › Ijevan,"150,000 ֏",AMD,"Торговый центр в с. Хаштарак - магазин, кафе, хлебопекарня.",Nov-24-2022_22-31,,https://list.am/en/item/17395107,
Multifunctional Space,240 sq.m.,,,,,,,,,Tavush › Ijevan,"150,000 ֏",AMD,"Торговый центр в с. Хаштарак - магазин, кафе, хлебопекарня.",Nov-24-2022_22-31,,https://list.am/en/item/17395109,
Retail Space,72 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,1 month,Without prepayment,Included,"Ankakhutyan Street, Ijevan","$100,000",USD,Two well-profitable shops for sale in the center of Ijani (Meat Passage and Yammy fast food outlet) will not be lacking in customers. For sale together with the whole property.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/16014227,
Retail Space,20 sq.m.,,,,,,,,,Tavush › Dilijan,"120,000 ֏",AMD,"An operating meat and food store, everything can be said to be new.For rentTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18324254,
